task,family,arm,budget,repeat,status,found,candidates_evaluated,search_depth,graph_steps,cpu_seconds,wall_seconds,hidden_checked,hidden_failures,success
numbers/selected_negative_double_sum,selected_negative_double_sum,baseline,150000,0,step_budget,,14,2,150000,0.5664820000000006,0.5707468750000046,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_a,150000,0,step_budget,,13,2,150000,0.5590249999999983,0.564068541999994,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_a,150000,1,step_budget,,13,2,150000,0.5623170000000002,0.5705422920000061,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,baseline,150000,1,step_budget,,14,2,150000,0.6108960000000039,0.6265586670000047,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,150000,1,step_budget,,10,2,150000,0.45119500000000556,0.45409737499999636,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,450000,0,step_budget,,25,2,450000,1.238790999999999,1.2507866250000035,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,baseline,450000,0,step_budget,,34,2,450000,1.4668890000000019,1.4809586659999994,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_a,450000,0,step_budget,,36,2,450000,1.4875669999999985,1.4978872920000015,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_a,450000,1,step_budget,,36,2,450000,1.5012700000000052,1.5136625830000057,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,baseline,450000,1,step_budget,,34,2,450000,1.4580920000000006,1.4726812919999972,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,450000,1,step_budget,,25,2,450000,1.2264259999999965,1.2344568750000064,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,1350000,0,step_budget,,60,2,1350000,3.288439000000004,3.3191367089999986,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,baseline,1350000,0,step_budget,,88,3,1350000,3.966653000000001,3.983797416999998,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_a,1350000,0,step_budget,,93,3,1350000,4.116414000000006,4.1376191250000005,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_a,1350000,1,step_budget,,93,3,1350000,4.1066220000000015,4.126975625,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,baseline,1350000,1,step_budget,,88,3,1350000,3.9922960000000103,4.014572166000008,0,0,False
numbers/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,1350000,1,step_budget,,60,2,1350000,3.227989000000008,3.2439262500000012,0,0,False
